ID,Volpiano
"mSCH162
Cantus ID:
Genre: Al | Mode:",1--hhgh--fedfgffded--cddfefdedcddfghgfgdfghgfgd-------
"mSCH163
Cantus ID:
Genre: Al | Mode:",1--hhg--gfedefge--hgfededc--defddhjhgefdefgedh--------
"mSCH164
Cantus ID:
Genre: Al | Mode:",1--cd--de--efeed--ddefgegffdedcdeefgegffdedc----------
"mSCH165
Cantus ID:
Genre: Al | Mode:",1--cd--dfdeeecd--dgefdeegghghgfgfdeeedgfddc-----------
"mSCH166
Cantus ID:
Genre: Al | Mode:",1--cd--dfdfedfdc--degghgeedeeeghgeedfef---------------
"mSCH167
Cantus ID:
Genre: Al | Mode:",1--c--dedefedefeddc--de--eegghgfdeeefgfeddccdef-------
"mSCH167a
Cantus ID:
Genre: Al | Mode:",1--c--dfdfefgfddc--deff--eeghgfedeeeghgfedee----------
"mSCH168
Cantus ID:
Genre: Al | Mode:",1--cd--d--dceedfgf--egefddcecdffdegefddce-------------
"mSCH169
Cantus ID:
Genre: Al | Mode:",1--def--ffecgfe--deeeghhgkjghhgfeeefgfedfc------------
"mSCH170
Cantus ID:
Genre: Al | Mode:",1--ce--efgefed--ce--eefgefedceegggfeddcdefgfeddc------
"mSCH171
Cantus ID:
Genre: Al | Mode:",1--cde--e--efgfedffe--dfhgfgfeefghgfdee---------------
"mSCH172
Cantus ID:
Genre: Al | Mode:",1--cdf--efgfedc--de--eefggfefedcdeeedgefedcdee--------
"mSCH173
Cantus ID:
Genre: Al | Mode:",1--cde--efedgffe--de--egfghgfgfedeecedfeddc-----------
"mSCH174
Cantus ID:
Genre: Al | Mode:",1--c--dedefgefddc--de--ecdfdefgefddcegecdfde----------
"mSCH175
Cantus ID:
Genre: Al | Mode:",1--c--d--edhjh--hhhhgefdcggggfddcfghjhhhhgefd---------
"mSCH176
Cantus ID:
Genre: Al | Mode:",1--cde--eddc--fghjgheffeddghgfdeddccdfhggfe-----------
"mSCH177
Cantus ID:
Genre: Al | Mode:",1--cded--efededc--fghjh--ghfggfeefghgfdedcghjk--------
"mSCH177a
Cantus ID:
Genre: Al | Mode:",1--cded--fededccdefedghjkjhhgfedc--efgh--hhggfe-------
"mSCH177b
Cantus ID:
Genre: Al | Mode:",1--ghjh--jkjhjhg--klmn--lmlklkjjklmlkjhjhglmnoonmno---
"mSCH178
Cantus ID:
Genre: Al | Mode:",1--cdf--ef--ghgefgh--hkhggfghghgffdghgfgfgffe---------
"mSCH178a
Cantus ID:
Genre: Al | Mode:",1--dff--ef--ghgf--fghhkhggfghghgffdghgegfgffe---------
"mSCH179
Cantus ID:
Genre: Al | Mode:",1--cde--eeghkhghfdegfghfghg--fe--ehhghgfgd------------
"mSCH180
Cantus ID:
Genre: Al | Mode:",1--ded--cfff--dedc--ccdcdfgfhhgfedeecdcdfgfh----------
"mSCH181
Cantus ID:
Genre: Al | Mode:",1--defd--cdegedfdec--defe--egedfdecdfdeefged----------
"mSCH181a
Cantus ID:
Genre: Al | Mode:",1--cd--dffe--de--egfdfdecdcdffegfdfdecdcdffe----------
"mSCH182
Cantus ID:
Genre: Al | Mode:",1--d--dfgfefd--fgh--ijhghdffeeghgfghghfgge------------
"mSCH183
Cantus ID:
Genre: Al | Mode:",1--dg--ghjhgfghgeffedcffeh--ghgfhgg--ecdfdfe----------
"mSCH184
Cantus ID:
Genre: Al | Mode:",1--dfddd--cf--gh--hjkhghgfggeeghghjhghdefgfhghffe-----
"mSCH184a
Cantus ID:
Genre: Al | Mode:",1--dfddc--f--gh--hjkjhghgfgfegghghjhghdefgfghg--------
"mSCH185
Cantus ID:
Genre: Al | Mode:",1--d--fhgfgfeffe--ghjk--jhkjhkkjghjhhgghkkjghh--------
"mSCH185a
Cantus ID:
Genre: Al | Mode:",1--h--klkkjhjh--klmn--mlnmlnnmklmllkklmnmkll----------
"mSCH186
Cantus ID:
Genre: Al | Mode:",1--def--ef--ghgefgh--hkhghdffghfgdffghgfhge-----------
"mSCH187
Cantus ID:
Genre: Al | Mode:",1--df--efgefgfed--fghgghkg--hghgefghgefgfedddfgffe----
"mSCH188
Cantus ID:
Genre: Al | Mode:",1--ed--dedc--de--edcdeeehhhjhghgfgggfeehhhjh----------
"mSCH189
Cantus ID:
Genre: Al | Mode:",1--ed--dedcdcdd--ce--eedecdcdefeedfgfhfegfe-----------
"mSCH190
Cantus ID:
Genre: Al | Mode:",1--e--gg--hg--ghegfdeeghjhjkjhhgggeghjhjkjhhggge------
"mSCH191
Cantus ID:
Genre: Al | Mode:",1--ed--ghhhggfe--dff--efedeeegfedeeeghjhkkj-----------
"mSCH192
Cantus ID:
Genre: Al | Mode:",1--ed--degh--gfghgfgf--eedghkkjghgefedegh-------------
"mSCH193
Cantus ID:
Genre: Al | Mode:",1--e--edg--hjhhg--ghgkjhjjghgkjhjjjlllkjhlllkhgj------
"mSCH194
Cantus ID:
Genre: Al | Mode:",1--eged--ghg--hjhh--gjkjhjljlkhhggjkjhjljlkhhg--------
"mSCH195
Cantus ID:
Genre: Al | Mode:",1--egee--ghg--fghjhgfgg--fghffedceefghgfgffgh---------
"mSCH196
Cantus ID:
Genre: Al | Mode:",1--e--eggghjhgh--ghjghj--jkjhhgjhjlklkjjh-------------
"mSCH197
Cantus ID:
Genre: Al | Mode:",1--efgd--g--hk--kjklklkjjklklkjhgghjkhgeefgge---------
"mSCH198
Cantus ID:
Genre: Al | Mode:",1--eef--dg--gjghjk--jkhjggeggfgkjhfefgffe-------------
"mSCH199
Cantus ID:
Genre: Al | Mode:",1--edg--hkggffdedc--cd--cdfdfghhgghjhghffde-----------
"mSCH200
Cantus ID:
Genre: Al | Mode:",1--e--fdfghffe--fdghjhjkk--ghjkjhjhgefghhk------------
"mSCH200a
Cantus ID:
Genre: Al | Mode:",1--ef--dfhffe--fdghj--ghjkjhjhgefhgkkkjhghf-----------
"mSCH201
Cantus ID:
Genre: Al | Mode:",1--e--edghffe--edghjhghk--jkjghgfhhkkkkkkgfghghgge----
"mSCH202
Cantus ID:
Genre: Al | Mode:",1--e--fdghffe--fdghjhghj--jkjghgfghhgkkkkkhh----------
"mSCH203
Cantus ID:
Genre: Al | Mode:",1--ef--dg--gjghjkklj--ghjkhkhjgghjkhkhjgge------------
"mSCH204
Cantus ID:
Genre: Al | Mode:",1--f--ededc--d--edfdedceedfhgfeeghgfde----------------
"mSCH205
Cantus ID:
Genre: Al | Mode:",1--fd--efg--hgh--hjhggfhjhggeghgfefgffe---------------
"mSCH206
Cantus ID:
Genre: Al | Mode:",1--f--fgh--ghkhgk--kkhkjkkghgfkhjghghffeefg-----------
"mSCH207
Cantus ID:
Genre: Al | Mode:",1--ff--dg--gjghjkkl--kjklkjhgkkjhlkjhkhkjhjg----------
"mSCH208
Cantus ID:
Genre: Al | Mode:",1--gfg--fe--fg--ghfgjghhhgehfgffe---------------------
"mSCH208a
Cantus ID:
Genre: Al | Mode:",1--hgj--hg--hj--jkhjljlkkjgkhjhhg---------------------
"mSCH209
Cantus ID:
Genre: Al | Mode:",1--g--ffddc--dfde--eefgfgededcedefgfgeded-------------
"mSCH210
Cantus ID:
Genre: Al | Mode:",1--g--g--hjhghjk--jklkjklkjhjhhgghjklkjklkjhj---------
"mSCH211
Cantus ID:
Genre: Al | Mode:",1--g--ghk--hjkhgk--kkkghgfkhjghghffeefghghfefgffe-----
"mSCH211a
Cantus ID:
Genre: Al | Mode:",1--dc--fgh--ghjhgj--jkkghgfkhjghghffeefghghfefgffe----
"mSCH211b
Cantus ID:
Genre: Al | Mode:",1--e--ghj--hjkjhj--jkhkjkkghgfkhjghghffeefg-----------
"mSCH212
Cantus ID:
Genre: Al | Mode:",1--hgf--f--gh--hhkjghgfgghkjghgfgghdefghgeefgge-------
"mSCH213
Cantus ID:
Genre: Al | Mode:",1--hk--khkkhjg--hkjhjgefeed--dhkjhjgefeedhjgef--------
"mSCH214
Cantus ID:
Genre: Al | Mode:",1--hg--gkkh--gllklgllklm--kllmnomoponlkmnon-----------
"mSCH215
Cantus ID:
Genre: Al | Mode:",1--cde--edc--de--efghgfdeeeedcegecfeedcceg------------
"mSCH216
Cantus ID:
Genre: Al | Mode:",1--cdf--ffgfedhgf--gf--fghfgfecdfgfhgffhkjhgfggf------
"mSCH217
Cantus ID:
Genre: Al | Mode:",1--c--ffghf--g--hjghfghhjghfghhjghgddcgfghgf----------
"mSCH218
Cantus ID:
Genre: Al | Mode:",1i-cffg--gf--fgjhjgf--gfjfgjhjgfjfghggf--------------
"mSCH219
Cantus ID:
Genre: Al | Mode:",1--cd--efgg--hgkjhgefg--gdefgghgkjhgefgggkkkjhg-------
"mSCH220
Cantus ID:
Genre: Al | Mode:",1--def--dfc--fgfgh--hhgfdeddcfgfghgggf----------------
"mSCH220a
Cantus ID:
Genre: Al | Mode:",1--hkk--hjg--klkm--mnlkkkhhghkllkmlkkjh---------------
"mSCH220b
Cantus ID:
Genre: Al | Mode:",1--gkk--hgk--lkm--mklkhgkkjlkmllk---------------------
"mSCH221
Cantus ID:
Genre: Al | Mode:",1--dhhg--hgfddcggg--fghgh--ffghjhghgfghgffgh----------
"mSCH222
Cantus ID:
Genre: Al | Mode:",1--dc--ff--fgfjh--ghhfgfjgfhhfdfegfdcddc--------------
"mSCH223
Cantus ID:
Genre: Al | Mode:",1--d--dffghggf--fghhgj--hgjhgjjhfhgffdffdfghf---------
"mSCH224
Cantus ID:
Genre: Al | Mode:",1--defe--defedcddc--fghgfgij--jhjkjkjhhjkjkjhggf------
"mSCH224a
Cantus ID:
Genre: Al | Mode:",1--df--ddcf--gh--hjkhkjhhjkhkjhgfghghjjhhjkjhjg-------
"mSCH224b
Cantus ID:
Genre: Al | Mode:",1--hjkj--hg--klmlklm--mmnononmmnononmlklmlmnnm--------
"mSCH224c
Cantus ID:
Genre: Al | Mode:",1--hjkj--hjkjhg--klmlkln--mnononmmnononmlkklmnlm------
"mSCH225
Cantus ID:
Genre: Al | Mode:",1--f--g--hkkk--kjkhgfghghghklkkhkkhgkhgf--------------
"mSCH226
Cantus ID:
Genre: Al | Mode:",1--fg--h--kkl--khklkkhfhhgkkkkkhgfghggf---------------
"mSCH227
Cantus ID:
Genre: Al | Mode:",1--fhk--kh--hklk--lklkhhfhjhgklkkhfhghggf-------------
"mSCH228
Cantus ID:
Genre: Al | Mode:",1--f--fhkkjkjh--hkkkjhjkl--jlkjhkjkhlklkmlmlk---------
"mSCH229
Cantus ID:
Genre: Al | Mode:",1--hhj--ijhgk--klklnmlm--kklnmlnkiklkkjkklmllk--------
"mSCH230
Cantus ID:
Genre: Al | Mode:",1--k--kl--ml--khhgkklmnllklmllkhhgklmnllklmllk--------
"mSCH231
Cantus ID:
Genre: Al | Mode:",1--cd--efghhg--fg--ggkkjhklkjhgefghhggkkjhghhg--------
"mSCH232
Cantus ID:
Genre: Al | Mode:",1--cd--efghhg--fg--ggfeedcdcdfefghgfghgfedhh----------
"mSCH232a
Cantus ID:
Genre: Al | Mode:",1--gh--ghgf--hkkjhg--fgggfedcdedefgghkhgfgg-----------
"mSCH233
Cantus ID:
Genre: Al | Mode:",1--cd--efghhg--fg--gghgfdeddccdefghjhhg---------------
"mSCH234
Cantus ID:
Genre: Al | Mode:",1--cdf--efedghhg--fg--gghgkhgjhhgghgkhgjhhg-----------
"mSCH235
Cantus ID:
Genre: Al | Mode:",1--cd--efgg--hgkjhh--gefgefghjhghjhgfggkkkkjhg--------
"mSCH235a
Cantus ID:
Genre: Al | Mode:",1--cd--efgg--hgkjhh--ghjhghjgefgefghjhghjhgfgg--------
"mSCH236
Cantus ID:
Genre: Al | Mode:",1--cdc--ffgffgjhfgjhfgfgkgjhgkjjghfgcefghhg--fg--g----
"mSCH237
Cantus ID:
Genre: Al | Mode:",1--d--g--hh--gdfdefgghghkjlkjhgjhgfghfefd-------------
"mSCH238
Cantus ID:
Genre: Al | Mode:",1--d--dgfhhgg--fg--gkjghhgjhhgkjghhgjhhgggf-----------
"mSCH238a
Cantus ID:
Genre: Al | Mode:",1--gh--jkjk--llk--fgglkjkkhjhhglkjkkhjhhgllk----------
"mSCH239
Cantus ID:
Genre: Al | Mode:",1--dc--dgfg--hjhfg--gkhklmjgkjhhgkhklmjg--------------
"mSCH240
Cantus ID:
Genre: Al | Mode:",1--dfee--efgfgh--ijhggfghg--hgkjhklkjhggkhghgfhhg-----
"mSCH241
Cantus ID:
Genre: Al | Mode:",1--d--g--hj--jkjhghjhgdghjjkjhghjhhggklmm-------------
"mSCH241a
Cantus ID:
Genre: Al | Mode:",1--g--g--hj--jkjhhghjhhgdghjkjhhghjhhggklmnlm---------
"mSCH242
Cantus ID:
Genre: Al | Mode:",1--d--gg--ghgkj--hhgkhkjghgfhgkjhhgkkhkjghgf----------
"mSCH242a
Cantus ID:
Genre: Al | Mode:",1--h--kk--klknmlm--knlnmiklkjllknmlmllk---------------
"mSCH242b
Cantus ID:
Genre: Al | Mode:",1--e--gg--ghgkjhhg--gkhkjghgfhgkjhhgkhkj--------------
"mSCH243
Cantus ID:
Genre: Al | Mode:",1--d--efghg--fgggkkjh--ggdfefgggkkkjhghjgegf----------
"mSCH244
Cantus ID:
Genre: Al | Mode:",1--d--gg--ghgkjhjhgfgh--hggklmmmllkjlkjhghjg----------
"mSCH244a
Cantus ID:
Genre: Al | Mode:",1--gghg--ghkjhjhgf--gf--ghjhjhggklmmllkllkjjhlmlkj----
"mSCH245
Cantus ID:
Genre: Al | Mode:",1--efg--gh--gg--efgdghhghkkghjhhgghefggdffd-----------
"mSCH246
Cantus ID:
Genre: Al | Mode:",1--efgh--g--egfee--dghjhhfghgghjkhgfghedcgfg----------
"mSCH247
Cantus ID:
Genre: Al | Mode:",1--efgh--gefdcg--hhg--gfhkhglkhgfggefghhjgh-----------
"mSCH248
Cantus ID:
Genre: Al | Mode:",1--efgh--gegfedg--hg--gdefgdefghgkhgjhgfgghg----------
"mSCH249
Cantus ID:
Genre: Al | Mode:",1--efg--gfefdghgg--fg--gghghfghhghklkjghfgdfefgg------
"mSCH250
Cantus ID:
Genre: Al | Mode:",1--eg--gh--hjhh--ghjkljlkjhjhghhjkljlkjhjhghjh--------
"mSCH251
Cantus ID:
Genre: Al | Mode:",1--e--edg--hj--jhghkjhghkjhjjjklkjjklkjjhhghjj--------
"mSCH251
Cantus ID:
Genre: Al | Mode:",1--e--edghjjkhhg--hj--jgghghkjhghgkjhjjjkllkj---------
"mSCH252
Cantus ID:
Genre: Al | Mode:",1--eg--eedg--hg--hjgjkjhjhghgjljljlkjhghjhhg----------
"mSCH253
Cantus ID:
Genre: Al | Mode:",1--e--gghjgghg--gghghj--gghgkhhggghghkhhgegeg---------
"mSCH254
Cantus ID:
Genre: Al | Mode:",1--e--gghjgggghg--gghjh--gghgkhjhhg-------------------
"mSCH254a
Cantus ID:
Genre: Al | Mode:",1--ghh--kklmkkklk--kklm--kklknlmllk-------------------
"mSCH255
Cantus ID:
Genre: Al | Mode:",1--efed--dghfge--edghj--jklkjjhghjjhghgjjklkj---------
"mSCH256
Cantus ID:
Genre: Al | Mode:",1--e--gg--ghk--klkjhkhhghjkjhjhhg---------------------
"mSCH257
Cantus ID:
Genre: Al | Mode:",1--efggf--fhkk--hgfhhg--gghjkhghfefgfddcggfhhg--------
"mSCH258
Cantus ID:
Genre: Al | Mode:",1--e--edghjkhhg--hj--jgghghkjhghgkjhjhghkhjjjhg-------
"mSCH259
Cantus ID:
Genre: Al | Mode:",1--e--gg--ghgkjhjhghgf--glmkjljggjlkhjggh-------------
"mSCH260
Cantus ID:
Genre: Al | Mode:",1--ed--gghjghfg--hgkjjhh--ghgfhkhjjghhgeghjgg---------
"mSCH261
Cantus ID:
Genre: Al | Mode:",1--ed--ghfe--gfedghjkj--gjklkjhjghjjjklkjhjghjjkhg----
"mSCH262
Cantus ID:
Genre: Al | Mode:",1--fg--gfedfefg--gkjhghjhgfg--ggefdfhfgggkjhghjhg-----
"mSCH263
Cantus ID:
Genre: Al | Mode:",1--fg--g--hg--ggghgjhhggjkllkjghjkhgfgglmll-----------
"mSCH263a
Cantus ID:
Genre: Al | Mode:",1--fg--ghkhkkklkjg--hjhh--gghgjgjhggjkll--------------
"mSCH264
Cantus ID:
Genre: Al | Mode:",1--fg--g--fghhg--gkhkjhgfghghjgkhkjhgfghghjkjhg-------
"mSCH265
Cantus ID:
Genre: Al | Mode:",1--fg--ghhg--fg--gkjhgfggkjhgfgglklhgfgglllkjhg-------
"mSCH266
Cantus ID:
Genre: Al | Mode:",1--fg--ghghg--fg--gghgfhkjhghjhhgghgfhkjhklkkjhg------
"mSCH267
Cantus ID:
Genre: Al | Mode:",1--f--ghgf--hjkjh--gkkljkhjkhggkjkhggklmlmklmlj-------
"mSCH267a
Cantus ID:
Genre: Al | Mode:",1--hg--ghgf--hjkjghh--ggkkljkhjkhggkjkhghkk-----------
"mSCH268
Cantus ID:
Genre: Al | Mode:",1--fg--g--ghkhgffg--gghkhhgfggdfghijhjhg--------------
"mSCH269
Cantus ID:
Genre: Al | Mode:",1--fg--ghkjghgg--fg--gglmlklkjhklghkjhjghhg-----------
"mSCH270
Cantus ID:
Genre: Al | Mode:",1--fg--ghgf--ghjkjhh--ggklmmmmlkjhklkhjhhggkjh--------
"mSCH270a
Cantus ID:
Genre: Al | Mode:",1--cd-dedc--efgfee--dcfghhhhgfedfgfdedcdedc-----------
"mSCH271
Cantus ID:
Genre: Al | Mode:",1--fghg--hghkj--hkkkj--klkhhgjkghgfhjkkjgjhjhhg-------
"mSCH272
Cantus ID:
Genre: Al | Mode:",1--fg--ghghgf--hgkjhh--gkljkhjkhggjklmlkkjhghjhhg-----
"mSCH272a
Cantus ID:
Genre: Al | Mode:",1--fg--g--hghgfhh--ghkljkhjkhghkjkllkhghjhhg----------
"mSCH273
Cantus ID:
Genre: Al | Mode:",1--fg--ghghhgf--hjkjhk--ggklmlklkjkhgfggklml----------
"mSCH273a
Cantus ID:
Genre: Al | Mode:",1--fg--ghjkjhjhgf--ghg--gdghjkjklkjkhgfgdghjkj--------
"mSCH274
Cantus ID:
Genre: Al | Mode:",1--f--ghfghhg--fhkjhjj--gklmlkllghggfhhgkljkhg--------
"mSCH275
Cantus ID:
Genre: Al | Mode:",1--fg--ghfghjkjhghgg--fg--gkjhlkjhgfggkjhlkjhgfghhg---
"mSCH276
Cantus ID:
Genre: Al | Mode:",1--fg--ghghgfhjkkkjhg--hj--gghkkllmlklkjhkkkjhghhg----
"mSCH277
Cantus ID:
Genre: Al | Mode:",1--f--g--hkkk--klkkhgjhkljhghjhhg---------------------
"mSCH278
Cantus ID:
Genre: Al | Mode:",1--fg--ghkjllkhggg--fg--gglkllnmlkllglkllnmlkll-------
"mSCH279
Cantus ID:
Genre: Al | Mode:",1--fg--ghhg--fhkjhkl--llghjhghhfgkjhlmkkkjhghjgh------
"mSCH280
Cantus ID:
Genre: Al | Mode:",1--fhk--kkjhghhg--ghjkl--jjklmlkjkhgjjghjlkjhg--------
"mSCH281
Cantus ID:
Genre: Al | Mode:",1--fg--ghjkghggf--fhkklk--kkkjghjkjhgfjhhg------------
"mSCH282
Cantus ID:
Genre: Al | Mode:",1--fg--ghkghgfggf--ghgkkl--kkkjghggfhkhhg-------------
"mSCH283
Cantus ID:
Genre: Al | Mode:",1--fg--ghkhjklkkhhg--hjhh--ggklmlkjghfggklm-----------
"mSCH284
Cantus ID:
Genre: Al | Mode:",1--fg--ghfggghkjklllkjhgg--fg--ggefdfhfggghkk---------
"mSCH285
Cantus ID:
Genre: Al | Mode:",1--fg--ghgk--klmlk--lklkkhkjghgfhjkkhhg---------------
"mSCH286
Cantus ID:
Genre: Al | Mode:",1--ggf--ef--gf--ddcggfhhgkjhgfggkjhghfedggfhhg--------
"mSCH287
Cantus ID:
Genre: Al | Mode:",1--g--g--ggfefee--ddefghggfghgkjkhjhhg----------------
"mSCH288
Cantus ID:
Genre: Al | Mode:",1--g--g--ggedgh--gdedeceghgjhgjhgfghkhk---------------
"mSCH289
Cantus ID:
Genre: Al | Mode:",1--gf--efg--hhg--gghjkjhghhgghjklkjjhggjgh------------
"mSCH289a
Cantus ID:
Genre: Al | Mode:",1--g--efg--hhgggjhhhgfgggfeedcddccefghefghjhhg--------
"mSCH290
Cantus ID:
Genre: Al | Mode:",1--g--gefgghhg--fg--ghkklkjhgfgghhghgffedc------------
"mSCH291
Cantus ID:
Genre: Al | Mode:",1--ggf--defghg--fg--gghgfgfedhhkjhghfhjhgge-----------
"mSCH292
Cantus ID: 008415
Genre: Al | Mode: ?",1--gge--cdefghg--fg--gghgfdeddccdefghjhhg-------------
"mSCH292a
Cantus ID:
Genre: Al | Mode:",1--cd--efghg--fg--gghgfdedeccdefghijhhg---------------
"mSCH293
Cantus ID:
Genre: Al | Mode:",1--g--gffddefghhg--fg--gkkjhgffdfghhggjkllklml--------
"mSCH294
Cantus ID:
Genre: Al | Mode:",1--ghggf--efdefgg--fghhg--gghgffdhhkjhghfhjhg---------
"mSCH295
Cantus ID:
Genre: Al | Mode:",1--gf--efg--ghkhghk--jklkkhjghkjhjhghkhkhhg-----------
"mSCH296
Cantus ID:
Genre: Al | Mode:",1--g--hjgefgedg--hg--ghjhhgghjhghghhjgefgedgghjhgh----
"mSCH297
Cantus ID:
Genre: Al | Mode:",1--g--g--hg--gfhkklghgfgglmlklkhkllghgh---------------
"mSCH298
Cantus ID:
Genre: Al | Mode:",1--g--gh--hh--ghkkkjhghjgefdggghkkkkjhghjgefdggg------
"mSCH299
Cantus ID:
Genre: Al | Mode:",1--gh--hgg--fg--ghjkjhjkljjhgghjhjhggjkllllkjjhg------
"mSCH300
Cantus ID:
Genre: Al | Mode:",1--gh--h--fg--ghfggfhkkjgghgfggfhkkjgghgfgg-----------
"mSCH301
Cantus ID:
Genre: Al | Mode:",1--g--g--hj--jhjklkjgjlkkkhjhgfedhhhgfkkkjhgf---------
"mSCH302
Cantus ID:
Genre: Al | Mode:",1--g--ghh--hjj--ggghghghkkjggghghkkjgjlkjhghg---------
"mSCH302a
Cantus ID:
Genre: Al | Mode:",1--k--kl--m--klklklnmkkklklklnmkkonmlklklnmlkllk------
"mSCH303
Cantus ID:
Genre: Al | Mode:",1--g--g--hjhghj--jklkjklkjhjhgghjhjklkjklkjhjhg-------
"mSCH304
Cantus ID:
Genre: Al | Mode:",1--g--ghj--kj--hjljkjhklmnlmjkjhghjkhjgkkjhjhg--------
"mSCH305
Cantus ID:
Genre: Al | Mode:",1--gh--g--gkjkh--ggkkllklmlklmjjklkjhghjhg------------
"mSCH306
Cantus ID:
Genre: Al | Mode:",1--ghg--g--gjkjhh--ggkjhllkhkjkhgkjhllkhkjhgfg--------
"mSCH307
Cantus ID:
Genre: Al | Mode:",1--g--ghggfg--ghk--kkkhkklkjhhghjghggfgghg------------
"mSCH308
Cantus ID:
Genre: Al | Mode:",1--g--ghggf--hkjhh--gkhkjkhgfghjhhgkhjkhgfg-----------
"mSCH309
Cantus ID:
Genre: Al | Mode:",1--gh--g--gkjkhhg--ggjkllklmlklmjjklkjhghjhhg---------
"mSCH310
Cantus ID:
Genre: Al | Mode:",1--gf--hkjhjhg--fg--gjhglkjkhghjhgfghjhjghhg----------
"mSCH311
Cantus ID:
Genre: Al | Mode:",1--ghj--jhkkkjhg--fg--gjkllkmlkkkjhjjhghjkjhjhg-------
"mSCH312
Cantus ID:
Genre: Al | Mode:",1--gh--hkhjgf--gh--hhgkmlmklnmmljklllkhghjkll---------
"mSCH312a
Cantus ID:
Genre: Al | Mode:",1--j--jljkhg--hj--hgkmklmklnmmljklllllkhghjkll--------
"mSCH313
Cantus ID:
Genre: Al | Mode:",1--g--gkkkkkj--hjkjhhg--ghjkjhhghjhhjkjhghjhhg--------
"mSCH314
Cantus ID:
Genre: Al | Mode:",1--g--g--ghjkhjhghjj--gglmnmlkmlmnljklmlmk------------
"mSCH315
Cantus ID:
Genre: Al | Mode:",1--gh--gfghjkjhg--hh--gglnmlkmmllmnononlmnmkll--------
"mSCH316
Cantus ID:
Genre: Al | Mode:",1--gh--gfhkkjhg--fg--gklkhkjhgfgghghgfhjk-------------
"mSCH317
Cantus ID:
Genre: Al | Mode:",1--gh--hgfhjkhg--fg--gkjhkllmlklnonmlmnllkl-----------
"mSCH318
Cantus ID:
Genre: Al | Mode:",1--gh--gfhkkjhg--hjh--gkjhghjhgefdefghhgghjj----------
"mSCH319
Cantus ID:
Genre: Al | Mode:",1--g--hfg--hgkjkhgg--fgggkljkhjkhjkhggkljkh-----------
"mSCH320
Cantus ID:
Genre: Al | Mode:",1--ghg--fhjkjhghgg--fg--gglkllkjhhgfggghfed-----------
"mSCH321
Cantus ID:
Genre: Al | Mode:",1--gh--hghjkjkhhg--hj--gghkjhkjgjhhgghkjhkjgjhhg------
"mSCH322
Cantus ID:
Genre: Al | Mode:",1--gfh--hgkhjhg--hj--ghjjhjkkjlkjhghjjeghjj-----------
"mSCH323
Cantus ID:
Genre: Al | Mode:",1--ghgg--fgg--ghjkjhjkjj--ggjklkjhgghjhghgefgg--------
"mSCH324
Cantus ID:
Genre: Al | Mode:",1--gh--hhgfhhg--ghjkjhhg--gfhfgegffdfghghkg-----------
"mSCH325
Cantus ID:
Genre: Al | Mode:",1--ghj--jhjkkkjhghhg--gghj--jkjkhjhgghghjkkkjhjhhg----
"mSCH326
Cantus ID:
Genre: Al | Mode:",1--ghfg--g--ghkjkhkjhgfg--ghkjkhghefgghkjkhghe--------
"mSCH327
Cantus ID:
Genre: Al | Mode:",1--ghjk--jhghgfghjhghg--fg--gghjkkjhghgfghjhhgghjk----
"mSCH327a
Cantus ID:
Genre: Al | Mode:",1--ghjk--jhghgfghg--fg--gghjkjhghgfghgghjkjhghgf------
"mSCH328
Cantus ID:
Genre: Al | Mode:",1--g--ghfgg--fhkjhkjhgfhjhhg--gghjklmlklkjhklkjhg-----
"mSCH329
Cantus ID:
Genre: Al | Mode:",1--gh--hgfghhg--fhkkjghe--fggghefggdggfedghfg---------
"mSCH330
Cantus ID:
Genre: Al | Mode:",1--g--ghjkkjjkhjhhg--hgkjhjjhg--gghjkhjkhgjhhg--------
"mSCH331
Cantus ID:
Genre: Al | Mode:",1--g--gjkjhghjhgfg--hgkjhjhg--ggfggghjhhghgkj---------
"mSCH332
Cantus ID:
Genre: Al | Mode:",1--gfhjhhg--gkkkjhghjhhg--gfhjhh--ghjkhjkjhghjhhg-----
"mSCH333
Cantus ID:
Genre: Al | Mode:",1--g--gjkjhghjgfeg--gjkjhghjhkjhjjhg--gfgghjhhg-------
"mSCH334
Cantus ID:
Genre: Al | Mode:",1--g--gkj--kl--lmmlkhjhklljmlkhjhghjhhg---------------
"mSCH335
Cantus ID:
Genre: Al | Mode:",1--g--gkj--kl--lklmlmlklmnmnmlklmlmlklmnmnml----------
"mSCH335a
Cantus ID:
Genre: Al | Mode:",1--ghjkj--hg--klmnmlkkl--lklmlmklmnmlklmlmklmnml------
"mSCH336
Cantus ID:
Genre: Al | Mode:",1--g--gkj--kl--lkkljlmlnmmlkkjhklkkjhgkjklkj----------
"mSCH337
Cantus ID:
Genre: Al | Mode:",1--g--gkj--kl--lkkljlmkmlmnljjhjklkkgkkhkj------------
"mSCH338
Cantus ID:
Genre: Al | Mode:",1--g--gkj--kl--lmklhkjhklkhgklmklhkjhklkhg------------
"mSCH339
Cantus ID:
Genre: Al | Mode:",1--g--gkj--kl--llnmonlnmklllnmonlnmkll----------------
"mSCH340
Cantus ID:
Genre: Al | Mode:",1--g--gkj--klkl--llknmlnlkjkklgllkhgjklkkl------------
"mSCH341
Cantus ID:
Genre: Al | Mode:",1--g--gkkj--klk--llmlmlklkjhllmlmlklkjhllmlk----------
