ID,Volpiano
"mSCH039
Cantus ID:
Genre: Al | Mode:",1--cdf--efgedfedd--cd--ddhhhgfgghddcgfghgfed----------
"mSCH040
Cantus ID: g02192
Genre: Al | Mode: D",1--cd--degfefded--cd--dhhkjgkjhhhkjgkjhhjhgefeed------
"mSCH041
Cantus ID: g00325
Genre: Al | Mode: D",1--cd--defeddc--efgfee--dfedfghhgfeddhhgfedfefg-------
"mSCH041a
Cantus ID:
Genre: Al | Mode:",1--cd--dffeffeefggfefgfed--cdddgghhkjhghgffe----------
"mSCH041b
Cantus ID:
Genre: Al | Mode:",1--cd--defeed--egefgfee--dfghggegfedhggfedfe----------
"mSCH042
Cantus ID:
Genre: Al | Mode:",1--cd--d--defgfedefg--ggfghfjhgefgfgfddcdc------------
"mSCH042a
Cantus ID:
Genre: Al | Mode:",1--cd--dfgfedd--defgfedefg--gfghgjhgefgfgf------------
"mSCH043
Cantus ID: g00306
Genre: Al | Mode: D",1--cd--defec--edefgeed--dhghjhgeghefedcdd-------------
"mSCH044
Cantus ID:
Genre: Al | Mode:",1--cd--dededcegfedd--cd--ddhehhjhgefegfefd------------
"mSCH045
Cantus ID:
Genre: Al | Mode:",1--cd--dfedefggfed--cd--dhhgfgghehkghhgfggh-----------
"mSCH046
Cantus ID: g01302
Genre: Al | Mode: D",1--cdfg--edfefded--cd--dfghhfhgjhfhgjhgfdeddc---------
"mSCH046a
Cantus ID:
Genre: Al | Mode:",1--cdc--fgedfefded--cddfghghfhgjhgefddc---------------
"mSCH047
Cantus ID: g02105.1
Genre: Al | Mode: D",1--cdf--fgedfefd--dceedfghhfhhfhgefggdec--------------
"mSCH048
Cantus ID: g00538
Genre: Al | Mode: D",1--cd--edefgfed--efeed--defdcceedgfeddefegfefd--------
"mSCH049
Cantus ID:
Genre: Al | Mode:",1--cd--deddc--defgegfeed--ddfefgegfeddefghhfhgf-------
"mSCH049a
Cantus ID:
Genre: Al | Mode:",1--cd--defeed--defgegffe--ddefgegfeddefgegfed---------
"mSCH050
Cantus ID:
Genre: Al | Mode:",1--cd--dcdefgfedfeddcdddffegfedefde-------------------
"mSCH051
Cantus ID:
Genre: Al | Mode:",1--cd--dfeecefgedfedd--cd--ddhjhghgfgfgghhge----------
"mSCH052
Cantus ID: 008427.1
Genre: Al | Mode: D",1--cde--efgededcddc--cde--edegfdeedeedegfdee----------
"mSCH053
Cantus ID: 008435
Genre: Al | Mode: D",1--cd--dfgfefedcdefedfefg--gefgghjhggfgfed------------
"mSCH054
Cantus ID: g01554
Genre: Al | Mode: D",1--cd--defedccdfgf--edefedcd--ddefgggfedcedefed-------
"mSCH054a
Cantus ID:
Genre: Al | Mode:",1--fg--ghjggf--hghjkk--ggkkjklkhhgfggghgkkg-----------
"mSCH055
Cantus ID:
Genre: Al | Mode:",1--cdf--fefdc--fgh--hijhghgghgfgfefeddcdefgfefd-------
"mSCH056
Cantus ID:
Genre: Al | Mode:",1--cd--efghgfedd--cd--ddhjhgffghghgfedcceed-----------
"mSCH057
Cantus ID:
Genre: Al | Mode:",1--cd--dfghfededd--cd--dhgfedfggcdefgfedcdd-----------
"mSCH058
Cantus ID: g01234
Genre: Al | Mode: D",1--cd--d--fdffgffg--ghffcfffhjgffedefd----------------
"mSCH058a
Cantus ID:
Genre: Al | Mode:",1--d--d--fdffgefg--ghffdfffhjgfeddefd-----------------
"mSCH059
Cantus ID: 507012
Genre: Al | Mode: D",1--cd--dfeddc--fgfgh--hhghgfgfeddcgfghffed------------
"mSCH060
Cantus ID: g01313
Genre: Al | Mode: D",1--cdef--dedc--efgh--hhgfdedcefggfededceddefded-------
"mSCH061
Cantus ID: g02360
Genre: Al | Mode: D",1--c--cdefedfghhg--edff--dhghgfededccdeedfghhg--------
"mSCH062
Cantus ID: g01352
Genre: Al | Mode: D",1--ce--eghfgfed--ghg--ghgkhgdffedcegghgkhgkhg---------
"mSCH062a
Cantus ID:
Genre: Al | Mode:",1--cdd--ceghegfedgh--ghgjhgjhgdefeddceghgjh-----------
"mSCH062b
Cantus ID:
Genre: Al | Mode:",1--cde--efdcde--eghfgfe--ghghgjhgjhgfdefedc-----------
"mSCH062c
Cantus ID:
Genre: Al | Mode:",1--ee--de--eghegfed--ghghgjhgjhgdefeddceghgjh---------
"mSCH062d
Cantus ID:
Genre: Al | Mode:",1--fggh--hhgfggh--hhklijkh--hkklklkmlkmlkkgihj--------
"mSCH063
Cantus ID:
Genre: Al | Mode:",1--cd--efghhged--dcgff--eddefgefdhgffedecdd-----------
"mSCH064
Cantus ID: g02149
Genre: Al | Mode: D",1--cd--dfdecdd--fghgfggh--hfhjhghfgfedcdd-------------
"mSCH065
Cantus ID: g02565
Genre: Al | Mode: D",1--cd--defggghhhgefed--cd--ddefggghhhgefeddh----------
"mSCH065a
Cantus ID:
Genre: Al | Mode:",1--cd--ddefggghhhgefed--cd--ddggfefedcfefgf-----------
"mSCH066
Cantus ID:
Genre: Al | Mode:",1--cd--edfghgfedd--cdefe--dhhgfedefggfefdceed---------
"mSCH067
Cantus ID:
Genre: Al | Mode:",1--cd--dfdeddc--fghhgfgh--hhgffedfgfdeddc-------------
"mSCH067a
Cantus ID:
Genre: Al | Mode:",1--dd--cd--ddfef--ddcdefffedcfgfdeddccdefffedc--------
"mSCH067a
Cantus ID:
Genre: Al | Mode:",1--h--gh--hjkhj--hhgklmmlklmmlkjhklkkhjhgghjk---------
"mSCH068
Cantus ID:
Genre: Al | Mode:",1--cd--ededecddc--hhggfghhhkkjgfgghhghg---------------
"mSCH069
Cantus ID:
Genre: Al | Mode:",1--cd--dfedefhgfedc--efe--dhghfgjghhghgfedcdf---------
"mSCH070
Cantus ID:
Genre: Al | Mode:",1--cd--degghfegfed--cdefdcd--ddedcdefgghfeg-----------
"mSCH071
Cantus ID: g01341
Genre: Al | Mode: D",1--cd--degefeed--egfhgefdcdee--dhhgjhghggfed----------
"mSCH072
Cantus ID:
Genre: Al | Mode:",1--cccd--dfdedecd--dfededcfghhgfgh--hfgedfefd---------
"mSCH073
Cantus ID: g02360
Genre: Al | Mode: D",1--c--e--ghj--hghgkjhhhgefedceggefeghgeffd------------
"mSCH074
Cantus ID:
Genre: Al | Mode:",1--c--d--edhj--hhghgfhfgfegfedcegefdedccfe------------
"mSCH074a
Cantus ID:
Genre: Al | Mode:",1--dhj--h--hgh--ghgfhfgfegfedcfegffdceggef------------
"mSCH075
Cantus ID: g02265
Genre: Al | Mode: D",1--c--d--edhj--hghgfhfgfgfdcefgfeceggefdeddc----------
"mSCH076
Cantus ID:
Genre: Al | Mode:",1--cdefed--ddc--fghjggfgh--hdefgfeddefghjhggfghh------
"mSCH076a
Cantus ID:
Genre: Al | Mode:",1--defgfe--eed--fghjghefg--ggdefgfeddefghjhggf--------
"mSCH077
Cantus ID: g01322
Genre: Al | Mode: D",1--cdf--efgedffd--fghjghefg--gdefgedffddefged---------
"mSCH077a
Cantus ID:
Genre: Al | Mode:",1--dff--efgedfd--fghjghefg--gdefgedfddefgedhghfed-----
"mSCH078
Cantus ID: g02332
Genre: Al | Mode: D",1--cdef--gfedffd--fghjghefg--gdefghfedffddefgfed------
"mSCH079
Cantus ID: g02067
Genre: Al | Mode: D",1--cd--dfdefdeccddhjhghgfe--gh--hhdfgfedcd------------
"mSCH080
Cantus ID:
Genre: Al | Mode:",1--cd--dfddcfed--fghhgkjhgh--gfghhkjhjhghgfgf---------
"mSCH081
Cantus ID: g00082
Genre: Al | Mode: D",1--dcc--a--cdcfffedefd--ddegfghfhghgfeddefg-----------
"mSCH081a
Cantus ID:
Genre: Al | Mode:",1--dcc--a--cdcfffee--ddefghhfghgfedcfffeddefd---------
"mSCH082
Cantus ID:
Genre: Al | Mode:",1--dca--cded--cdefgefed--dfghhjhfgfggkggfhhd----------
"mSCH082a
Cantus ID:
Genre: Al | Mode:",1--cd--dfdefghgefd--cd--dfghjhfgfgjggfhdfegfdcd-------
"mSCH082b
Cantus ID:
Genre: Al | Mode:",1--dd--cdefgedffd--cd--dfghjhfgfgjggfhhdfegfdd--------
"mSCH083
Cantus ID:
Genre: Al | Mode:",1--de--dc--de--ddefggfedefdedcddadedcddefg------------
"mSCH084
Cantus ID:
Genre: Al | Mode:",1--de--edcdef--eed--dgfefedccdcegffdceghjhgh----------
"mSCH084a
Cantus ID:
Genre: Al | Mode:",1--cdeed--def--eed--dgfefedcddefgffdcgh---------------
"mSCH085
Cantus ID: g00203
Genre: Al | Mode: D",1--ddc--cdeffededd--cd--dddcfghhjhgfgfdedcdd----------
"mSCH085a
Cantus ID:
Genre: Al | Mode:",1--cdefg--ed--cd--dddcfghhjhgfgfdedcdddhjhgf----------
"mSCH086
Cantus ID:
Genre: Al | Mode:",1--ddc--cdeffededd--cd--ddffhfggcdeffededcdddffh------
"mSCH087
Cantus ID:
Genre: Al | Mode:",1--ddc--eedfefdedcdd--cdefedd--ccfghgfedcefd----------
"mSCH088
Cantus ID: g01297
Genre: Al | Mode: D",1--dedd--efgf--ee--degfedcacdeeefghgfeddfddceed-------
"mSCH088a
Cantus ID:
Genre: Al | Mode:",1--cd--deddc--efgfegfeed--degfeddcacdeeefghgfed-------
"mSCH089
Cantus ID:
Genre: Al | Mode:",1--defggf--edffe--dhghhgfeddefggfedcedfeddcefed-------
"mSCH090
Cantus ID:
Genre: Al | Mode:",1--ddc--egfecd--ef--dhfhgedfgedfecdefddddefghhhge-----
"mSCH091
Cantus ID: 507009
Genre: Al | Mode: D",1--de--ecd--defgee--dgegjghhdefedcddceggfdee----------
"mSCH092
Cantus ID: g02306
Genre: Al | Mode: D",1--de--ddc--defgfed--dedcdcfedegegfedffd--------------
"mSCH093
Cantus ID:
Genre: Al | Mode: D",1--d--efg--gefgeed--dcddcdfdefggfdecddhhghd-----------
"mSCH094
Cantus ID:
Genre: Al | Mode:",1--c--efgedfdec--efddefgedfdecefdddhhhgfhd------------
"mSCH095
Cantus ID: g02330
Genre: Al | Mode: D",1--ddc--edfgfefd--cddhfhhgedefgfedcddefefdcdd---------
"mSCH096
Cantus ID: g01399
Genre: Al | Mode: D",1--dcd--defgfedd--cd--defedcdcdgefededcdfed-----------
"mSCH097
Cantus ID:
Genre: Al | Mode:",1--d--egecdefed--cd--ddhjhghgffedcdefeec--------------
"mSCH097a
Cantus ID:
Genre: Al | Mode:",1--ddc--efgecdegedefed--ddcd--ddhhgefedcefgedefd------
"mSCH098
Cantus ID:
Genre: Al | Mode:",1--de--dcegfefedd--cd--dhdedcdeeceggfdedcd------------
"mSCH099
Cantus ID:
Genre: Al | Mode:",1--ddc--egfedefedd--cd--ddhhggfghhdhhggfghh-----------
"mSCH100
Cantus ID:
Genre: Al | Mode:",1--dc--efgfefe--dcef--dfghghgfgfededdffgefdfecdd------
"mSCH101
Cantus ID:
Genre: Al | Mode:",1--de--ededc--efgfeed--ddededcefgfeeddededc-----------
"mSCH101a
Cantus ID:
Genre: Al | Mode:",1--de--edc--efgfeee--ddcddfefgefededcdddcd------------
"mSCH102
Cantus ID:
Genre: Al | Mode:",1--de--edcdefgfed--cd--dgghhhgfedefeddcddhgfegjh------
"mSCH103
Cantus ID:
Genre: Al | Mode:",1--dedd--efgfedc--efdcd--ddhghhjhgfedcddfededce-------
"mSCH103a
Cantus ID:
Genre: Al | Mode:",1--df--edcf--ed--dgfedcdefedcdaa9ddcdeed--------------
"mSCH103b
Cantus ID:
Genre: Al | Mode:",1--de--edcdef--eed--dgefedcdeegefedcdee---------------
"mSCH104
Cantus ID:
Genre: Al | Mode:",1--de--dcdefged--edceed--dfghjkhghgefeeddefg----------
"mSCH104a
Cantus ID:
Genre: Al | Mode:",1--cd--dcdf--fgedfdcfg--dfghhkhghgfgdfeed-------------
